[202]   validation_0-logloss:0.60405    validation_0-auc:0.75705        validation_1-logloss:0.60538    validation_1-auc:0.72364
[203]   validation_0-logloss:0.60400    validation_0-auc:0.75710        validation_1-logloss:0.60533    validation_1-auc:0.72366
[204]   validation_0-logloss:0.60388    validation_0-auc:0.75728        validation_1-logloss:0.60522    validation_1-auc:0.72371
[205]   validation_0-logloss:0.60376    validation_0-auc:0.75745        validation_1-logloss:0.60511    validation_1-auc:0.72372
[206]   validation_0-logloss:0.60368    validation_0-auc:0.75757        validation_1-logloss:0.60503    validation_1-auc:0.72374
[207]   validation_0-logloss:0.60352    validation_0-auc:0.75776        validation_1-logloss:0.60489    validation_1-auc:0.72384
[208]   validation_0-logloss:0.60346    validation_0-auc:0.75783        validation_1-logloss:0.60482    validation_1-auc:0.72383
[209]   validation_0-logloss:0.60337    validation_0-auc:0.75796        validation_1-logloss:0.60473    validation_1-auc:0.72383
[210]   validation_0-logloss:0.60306    validation_0-auc:0.75835        validation_1-logloss:0.60444    validation_1-auc:0.72414
[211]   validation_0-logloss:0.60296    validation_0-auc:0.75850        validation_1-logloss:0.60434    validation_1-auc:0.72414
[212]   validation_0-logloss:0.60279    validation_0-auc:0.75875        validation_1-logloss:0.60418    validation_1-auc:0.72413
[213]   validation_0-logloss:0.60274    validation_0-auc:0.75882        validation_1-logloss:0.60413    validation_1-auc:0.72415
[214]   validation_0-logloss:0.60257    validation_0-auc:0.75903        validation_1-logloss:0.60397    validation_1-auc:0.72417
[215]   validation_0-logloss:0.60250    validation_0-auc:0.75913        validation_1-logloss:0.60389    validation_1-auc:0.72418
[216]   validation_0-logloss:0.60237    validation_0-auc:0.75931        validation_1-logloss:0.60376    validation_1-auc:0.72414
[217]   validation_0-logloss:0.60221    validation_0-auc:0.75947        validation_1-logloss:0.60362    validation_1-auc:0.72428
[218]   validation_0-logloss:0.60209    validation_0-auc:0.75964        validation_1-logloss:0.60351    validation_1-auc:0.72430
[219]   validation_0-logloss:0.60206    validation_0-auc:0.75967        validation_1-logloss:0.60347    validation_1-auc:0.72433
[220]   validation_0-logloss:0.60189    validation_0-auc:0.75988        validation_1-logloss:0.60331    validation_1-auc:0.72442
[221]   validation_0-logloss:0.60166    validation_0-auc:0.76019        validation_1-logloss:0.60309    validation_1-auc:0.72452
[222]   validation_0-logloss:0.60148    validation_0-auc:0.76040        validation_1-logloss:0.60291    validation_1-auc:0.72456
[223]   validation_0-logloss:0.60135    validation_0-auc:0.76061        validation_1-logloss:0.60278    validation_1-auc:0.72460
[224]   validation_0-logloss:0.60130    validation_0-auc:0.76068        validation_1-logloss:0.60274    validation_1-auc:0.72461
[225]   validation_0-logloss:0.60126    validation_0-auc:0.76072        validation_1-logloss:0.60270    validation_1-auc:0.72462
[226]   validation_0-logloss:0.60123    validation_0-auc:0.76074        validation_1-logloss:0.60267    validation_1-auc:0.72463
[227]   validation_0-logloss:0.60110    validation_0-auc:0.76091        validation_1-logloss:0.60255    validation_1-auc:0.72461
[228]   validation_0-logloss:0.60100    validation_0-auc:0.76106        validation_1-logloss:0.60245    validation_1-auc:0.72461
